,Locus tag,Mean count,L v S log2 FC,Locus,Protein name
1629,PA2097,9.220512846,-0.302018771,-,flavin-binding monooxygenase
1630,PA4425,85.30087971,-0.302003356,-,phosphoheptose isomerase
1631,PA3016,95.32317628,-0.301979754,-,hypothetical protein PA3016
1632,PA1156,151.9825596,-0.301712476,nrdA,ribonucleotide-diphosphate reductase subunit alpha
1633,PA4422,22.71720556,-0.301428088,-,hypothetical protein PA4422
1634,PA2041,115.36776940000001,-0.301272637,-,amino acid permease
1635,PA2462,273.8982294,-0.300792616,-,hypothetical protein PA2462
1636,PA0452,89.79977728,-0.300704347,-,hypothetical protein PA0452
1637,PA1122,89.79977728,-0.300704347,NaN,NaN
1638,PA0727,65.25628657,-0.30054628,-,hypothetical protein PA0727
1639,PA1232,145.4346591,-0.299687164,-,hypothetical protein PA1232
1640,PA3229,171.0026513,-0.299079873,-,hypothetical protein PA3229
1641,PA4762,31.71500071,-0.298466485,grpE,heat shock protein GrpE
1642,PA1654,36.21389828,-0.297320562,-,aminotransferase
1643,PA0752,93.27417343,-0.296880148,-,hypothetical protein PA0752
1644,PA5221,93.27417343,-0.296880148,-,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase"
1645,PA4539,478.26399239999995,-0.296035548,-,hypothetical protein PA4539
1646,PA1119,45.21169342,-0.295607056,yfiB,hypothetical protein PA1119
1647,PA5525,1698.0443,-0.295058304,-,transcriptional regulator
1648,PA1810,73.22958028,-0.294973686,-,ABC transporter
1649,PA4793,49.710591,-0.294883489,-,hypothetical protein PA4793
1650,PA0158,275.7245146,-0.293734364,-,resistance-nodulation-cell division (RND) efflux transporter
1651,PA0576,58.70838614,-0.293526792,rpoD,RNA polymerase sigma factor RpoD
1652,PA1289,63.20728371,-0.292864865,-,hypothetical protein PA1289
1653,PA5160.1,1.8708286930000002,-0.292533155,NaN,NaN
1654,PA4015,67.70618128,-0.292195072,-,hypothetical protein PA4015
1655,PA3657,125.79095790000001,-0.292137003,map,methionine aminopeptidase
1656,PA5062,26.19160171,-0.291535204,-,hypothetical protein PA5062
1657,PA5536,26.19160171,-0.291535204,-,hypothetical protein PA5536
1658,PA0392,30.69049928,-0.291124657,-,hypothetical protein PA0392
1659,PA1570,35.18939685,-0.290727892,-,transcriptional regulator
1660,PA1365,324.811496,-0.290705363,-,siderophore receptor
1661,PA5117,110.2452623,-0.290603256,typA,regulatory protein TypA
1662,PA2157,39.68829442,-0.290414934,-,hypothetical protein PA2157
1663,PA5555,39.68829442,-0.290414934,atpG,ATP synthase subunit gamma
1664,PA0540,287.1722044,-0.290301119,-,hypothetical protein PA0540
1665,PA0777,48.68608957,-0.289855292,-,hypothetical protein PA0777
1666,PA0822,276.1254064,-0.289823694,NaN,NaN
1667,PA1049,12.69490899,-0.289812941,pdxH,pyridoxine/pyridoxamine 5\'-phosphate oxidase
1668,PA1709,12.69490899,-0.289812941,popD,translocator outer membrane protein PopD
1669,PA3338,12.69490899,-0.289812941,-,hypothetical protein PA3338
1670,PA5489,12.69490899,-0.289812941,dsbA,thiol:disulfide interchange protein DsbA
1671,PA4937,53.18498714,-0.289548405,rnr,exoribonuclease R
1672,PA3886,286.147703,-0.289503839,-,hypothetical protein PA3886
1673,PA3228,163.8311413,-0.289175158,-,ABC transporter ATP-binding protein/permease
1674,PA4473,634.5672754,-0.289071396,-,hypothetical protein PA4473
1675,PA1031,90.20066915,-0.288785487,-,DNA recombination protein RmuC
1676,PA1740,633.9436658,-0.287196081,-,hypothetical protein PA1740
1677,PA2609,80.17837257,-0.28703845,-,hypothetical protein PA2609
1678,PA1470,256.48170519999996,-0.286206513,-,short-chain dehydrogenase
1679,PA0377,296.5708914,-0.285539736,-,hypothetical protein PA0377
1680,PA2376,93.67506529,-0.285396479,-,transcriptional regulator
1681,PA3205,43.16269057,-0.284443734,-,hypothetical protein PA3205
1682,PA1813,38.663793,-0.2841628,-,hydroxyacylglutathione hydrolase
1683,PA4282,469.6225456,-0.283016511,-,exonuclease
1684,EBG00001435465,4.7216152739999995,-0.282762929,NaN,NaN
1685,PA1464,4.7216152739999995,-0.282762929,-,purine-binding chemotaxis protein
1686,PA1482,4.7216152739999995,-0.282762929,ccmH,cytochrome c-type biogenesis protein CcmH
1687,PA2601,4.7216152739999995,-0.282762929,-,transcriptional regulator
1688,PA3096,4.7216152739999995,-0.282762929,xcpY,type II secretion system protein L
1689,PA3743,4.7216152739999995,-0.282762929,trmD,tRNA (guanine-N(1)-)-methyltransferase
1690,PA4053,4.7216152739999995,-0.282762929,ribE,"6,7-dimethyl-8-ribityllumazine synthase"
1691,PA1443,8.196011419,-0.282596983,fliM,flagellar motor switch protein FliM
1692,PA1752,8.196011419,-0.282596983,-,2-dehydropantoate 2-reductase
1693,PA2644,8.196011419,-0.282596983,nuoI,NADH-quinone oxidoreductase subunit I
1694,PA3906,8.196011419,-0.282596983,-,hypothetical protein PA3906
1695,PA4864,8.196011419,-0.282596983,ureD,urease accessory protein
1696,PA4973,942.3185953999999,-0.281772197,thiC,thiamine biosynthesis protein ThiC
1697,PA3885,101.648359,-0.281756988,tpbA,protein tyrosine phosphatase TpbA
1698,PA1706,20.66820271,-0.281532788,pcrV,type III secretion protein PcrV
1699,PA3109,20.66820271,-0.281532788,-,hypothetical protein PA3109
1700,PA3359,315.991875,-0.280945593,-,hypothetical protein PA3359
1701,PA4575,64.632677,-0.280557754,-,hypothetical protein PA4575
1702,PA5505,64.632677,-0.280557754,-,TonB-dependent receptor
1703,PA4538,134.1651434,-0.28055074,ndh,NADH dehydrogenase
1704,PA4629,78.12936972,-0.280497282,-,hypothetical protein PA4629
1705,PA1071,60.13377943,-0.280402016,braF,ABC transporter ATP-binding protein
1706,PA0009,55.63488186,-0.280137533,glyQ,glycine--tRNA ligase subunit alpha
1707,PA2986,119.6439493,-0.279941506,-,hypothetical protein PA2986
1708,PA3331,96.12496001,-0.279531633,-,cytochrome P450
1709,PA1707,16.16930514,-0.279221828,pcrH,regulatory protein PcrH
1710,PA4545,16.16930514,-0.279221828,comL,competence protein ComL
1711,PA3239,209.22100890000002,-0.278308988,-,hypothetical protein PA3239
1712,PA4147,114.1205503,-0.278144051,acoR,transcriptional regulator AcoR
1713,PA5180,142.1384372,-0.277832022,-,hypothetical protein PA5180
1714,PA2386,37.63929157,-0.277625478,pvdA,L-ornithine N5-oxygenase
1715,PA2836,37.63929157,-0.277625478,-,secretion protein
1716,PA0958,232.73999819999997,-0.277619259,oprD,porin D
1717,PA5125,326.4150635,-0.277534322,ntrC,two-component response regulator NtrC
1718,PA0567,170.156324,-0.27719176,-,hypothetical protein PA0567
1719,PA4954,86.10266344,-0.277076723,motA,flagellar motor protein MotA
1720,PA5108,2.271720556,-0.277067121,-,hypothetical protein PA5108
1721,PA4233,95.10045858,-0.276796502,-,major facilitator superfamily transporter
1722,PA4025,245.2121895,-0.275558738,-,ethanolamine ammonia-lyase small subunit
1723,PA3352,28.64149642,-0.275176726,-,hypothetical protein PA3352
1724,PA0905,11.67040756,-0.27401905,rsmA,carbon storage regulator
1725,PA1659,11.67040756,-0.27401905,-,hypothetical protein PA1659
1726,PA1869,11.67040756,-0.27401905,-,acyl carrier protein
1727,PA3599,103.0737523,-0.27382489,-,transcriptional regulator
1728,PA4443,103.0737523,-0.27382489,cysD,sulfate adenylyltransferase subunit 2
1729,PA2642,45.61258529,-0.273574812,nuoG,NADH-quinone oxidoreductase subunit G
1730,PA2199,24.14259885,-0.27328067,-,dehydrogenase
1731,PA2583,158.0850246,-0.273113279,-,sensor/response regulator hybrid protein
1732,PA0404,41.11368771,-0.272324237,-,Holliday junction resolvase
1733,PA4320,41.11368771,-0.272324237,-,hypothetical protein PA4320
1734,PA1686,768.910593,-0.271495248,alkA,DNA-3-methyladenine glycosidase II
1735,PA4997,58.08477658,-0.271410735,msbA,transporter MsbA
1736,PA0850,102.0492509,-0.271230353,-,hypothetical protein PA0850
1737,PA2639,93.05145573,-0.271142273,nuoD,NADH:-quinone oxidoreductase subunit C/D
1738,PA2473,19.64370128,-0.270433196,-,glutathione S-transferase
1739,PA4788,19.64370128,-0.270433196,-,hypothetical protein PA4788
1740,PA5423,253.586375,-0.269701405,-,hypothetical protein PA5423
1741,PA1739,32.11589257,-0.268905446,-,oxidoreductase
1742,PA2648,32.11589257,-0.268905446,nuoM,NADH-quinone oxidoreductase subunit M
1743,PA2882,66.05807029,-0.268722187,-,two-component sensor
1744,PA1586,83.02915915,-0.267528795,sucB,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase
1745,PA3530,140.4903262,-0.266506426,-,hypothetical protein PA3530
1746,PA5355,27.616995000000003,-0.266496412,glcD,glycolate oxidase subunit GlcD
1747,PA3549,40.08918629,-0.265868835,algJ,alginate o-acetylase AlgJ
1748,PA5488,15.14480371,-0.265625465,-,hypothetical protein PA5488
1749,PA2654,193.4525956,-0.264408677,-,chemotaxis transducer
1750,PA1840,125.969132,-0.264403823,-,hypothetical protein PA1840
1751,PA1434,35.59028871,-0.263617216,-,hypothetical protein PA1434
1752,PA0585,60.53467129,-0.263294577,-,hypothetical protein PA0585
1753,PA0408,23.11809743,-0.263222705,pilG,pilus biosynthesis/twitching motility protein PilG
1754,PA5496,98.97574659,-0.263117798,nrdJb,hypothetical protein PA5496
1755,PA2487,56.03577372,-0.261813682,-,hypothetical protein PA2487
1756,PA0273,43.56358243,-0.261609165,-,major facilitator superfamily transporter
1757,PA4711,43.56358243,-0.261609165,-,hypothetical protein PA4711
1758,PA0010,31.09139114,-0.260852903,tag,DNA-3-methyladenine glycosidase I
1759,PA3117,31.09139114,-0.260852903,asd,aspartate-semialdehyde dehydrogenase
1760,PA3535,423.51998139999995,-0.26075153,-,serine protease
1761,PA0675,7.171509991000001,-0.260238408,vreI,ECF sigma factor VreI
1762,PA1533,7.171509991000001,-0.260238408,-,nucleoid-associated protein
1763,PA1702,7.171509991000001,-0.260238408,-,hypothetical protein PA1702
1764,PA2330,7.171509991000001,-0.260238408,-,hypothetical protein PA2330
1765,PA3113,7.171509991000001,-0.260238408,trpF,N-(5\'-phosphoribosyl)anthranilate isomerase
1766,PA3557,7.171509991000001,-0.260238408,arnE,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
1767,PA4244,7.171509991000001,-0.260238408,rplO,50S ribosomal protein L15
1768,PA4605,7.171509991000001,-0.260238408,-,hypothetical protein PA4605
1769,PA3685,51.53687615,-0.260025671,-,hypothetical protein PA3685
1770,PA0334,839.4230173000001,-0.25956048,-,major facilitator superfamily transporter
1771,PA2389,18.61919985,-0.258445426,pvdR,pyoverdine biosynthesis protein PvdR
1772,PA3389,18.61919985,-0.258445426,-,ring-cleaving dioxygenase
1773,PA4658,18.61919985,-0.258445426,-,hypothetical protein PA4658
1774,PA0131,171.3589996,-0.258293562,-,beta-alanine degradation protein BauB
1775,PA1109,255.81355209999998,-0.258107454,-,transcriptional regulator
1776,PA1035,47.03797858,-0.257866279,-,hypothetical protein PA1035
1777,PA1830,47.03797858,-0.257866279,-,hypothetical protein PA1830
1778,PA3179,47.03797858,-0.257866279,-,ribosomal large subunit pseudouridine synthase B
1779,PA3961,157.86230690000002,-0.257810026,-,ATP-dependent helicase
1780,PA1440,26.59249357,-0.257288417,-,hypothetical protein PA1440
1781,PA1467,26.59249357,-0.257288417,-,hypothetical protein PA1467
1782,PA4843,55.01127229,-0.25676999,-,two-component response regulator
1783,PA0114,416.3484714,-0.256708596,senC,cytochrome c oxidase assembly protein SenC
1784,PA3473,354.7892986,-0.256608699,-,chloramphenicol-sensitive protein RarD
1785,PA1623,10.64590614,-0.256408365,-,hypothetical protein PA1623
1786,PA4559,10.64590614,-0.256408365,lspA,lipoprotein signal peptidase
1787,PA0851,161.336703,-0.256281306,-,hypothetical protein PA0851
1788,PA1040,62.98456601,-0.255725901,-,hypothetical protein PA1040
1789,PA0830,42.539081,-0.25525328,-,hypothetical protein PA0830
1790,PA1015,1513.411326,-0.254877051,-,transcriptional regulator
1791,PA0516,50.51237472,-0.254539196,nirF,heme d1 biosynthesis protein NirF
1792,PA4650,58.48566844,-0.253819035,-,hypothetical protein PA4650
1793,PA4535,22.093595999999998,-0.252458454,-,hypothetical protein PA4535
1794,PA0231,38.04018343,-0.252081118,pcaD,3-oxoadipate enol-lactonase
1795,PA2720,46.01347715,-0.251859956,-,hypothetical protein PA2720
1796,PA3427,46.01347715,-0.251859956,-,short-chain dehydrogenase
1797,PA1486,107.3499322,-0.251223937,-,hypothetical protein PA1486
1798,PA4821,179.7331852,-0.251066313,-,transporter
1799,PA0321,119.8221235,-0.250798805,-,acetylpolyamine aminohydrolase
1800,PA4241,14.12030228,-0.250712268,rpsM,30S ribosomal protein S13
1801,PA2765,69.9333583,-0.25058525,-,hypothetical protein PA2765
1802,PA3782,212.65086150000002,-0.24903699,-,transcriptional regulator
1803,PA2077,290.55751349999997,-0.248670786,-,hypothetical protein PA2077
1804,PA1343,3.697113846,-0.248587592,-,hypothetical protein PA1343
1805,PA1701,3.697113846,-0.248587592,-,hypothetical protein PA1701
1806,PA3226,81.38104816,-0.247798404,-,hydrolase
1807,EBG00001435508,25.56799214,-0.247503713,NaN,NaN
1808,PA1048,25.56799214,-0.247503713,-,hypothetical protein PA1048
1809,PA4512,324.49969120000003,-0.247477565,lpxO1,lipopolysaccharide biosynthetic protein LpxO
1810,PA4687,60.93556316,-0.246380209,hitA,ferric iron-binding periplasmic protein HitA
1811,PA0120,17.59469843,-0.245462007,-,transcriptional regulator
1812,PA1349,17.59469843,-0.245462007,-,hypothetical protein PA1349
1813,PA5215,17.59469843,-0.245462007,gcvT1,glycine cleavage system aminomethyltransferase T
1814,PA5222,17.59469843,-0.245462007,-,hypothetical protein PA5222
1815,PA5325,100.8020317,-0.244676601,-,hypothetical protein PA5325
1816,PA4895,188.1073708,-0.244469786,-,transmembrane sensor
1817,PA3948,64.4099593,-0.244113793,rocA1,two-component response regulator RocA1
1818,PA5187,108.7753255,-0.244065114,-,acyl-CoA dehydrogenase
1819,PA4873,506.9054888,-0.243790565,-,heat-shock protein
1820,PA3435,129.2208105,-0.243666143,-,flavodoxin
1821,PA4578,29.04238829,-0.243381249,-,hypothetical protein PA4578
1822,PA5202,29.04238829,-0.243381249,-,hypothetical protein PA5202
1823,PA2808,48.46337187,-0.242947963,ptrA,repressor PtrA
1824,PA0787,124.72191289999999,-0.24283149,-,hypothetical protein PA0787
1825,PA4959,903.7438894999999,-0.242667874,fimX,protein FimX
1826,PA2341,59.91106173,-0.241484859,-,maltose ABC transporter ATP-binding protein
1827,PA0571,21.06909457,-0.240912499,-,hypothetical protein PA0571
1828,PA0707,21.06909457,-0.240912499,toxR,transcriptional regulator ToxR
1829,PA2497,21.06909457,-0.240912499,-,transcriptional regulator
1830,PA1791,248.4193244,-0.240886523,-,hypothetical protein PA1791
1831,PA1466,987.3966582,-0.240473245,-,hypothetical protein PA1466
1832,PA3075,79.33204531,-0.240396792,-,hypothetical protein PA3075
1833,PA4513,226.94933790000002,-0.240318406,-,oxidoreductase
1834,PA0653,71.35875159,-0.240073665,-,hypothetical protein PA0653
1835,PA3759,32.51678443,-0.239919848,-,aminotransferase
1836,PA2344,139.6439989,-0.239557022,mtlZ,fructokinase
1837,PA4407,63.38545787,-0.239440037,ftsZ,cell division protein FtsZ
1838,PA2959,43.96447429,-0.239117581,-,hypothetical protein PA2959
1839,PA3168,43.96447429,-0.239117581,gyrA,DNA gyrase subunit A
1840,PA2951,24.54349072,-0.237087194,etfA,electron transfer flavoprotein subunit alpha
1841,PA4009,24.54349072,-0.237087194,-,hypothetical protein PA4009
1842,PA0583,215.90253990000002,-0.236790186,-,hypothetical protein PA0583
1843,PA0965,9.621404709,-0.236670817,ruvC,crossover junction endodeoxyribonuclease RuvC
1844,PA2168,9.621404709,-0.236670817,-,hypothetical protein PA2168
1845,PA2721,9.621404709,-0.236670817,-,hypothetical protein PA2721
1846,PA2490,236.34802489999998,-0.236559977,-,hypothetical protein PA2490
1847,PA2005,58.8865603,-0.236432306,-,transcriptional regulator
1848,PA5213,591.1373236000001,-0.236113225,gcvP1,glycine dehydrogenase
1849,PA3319,105.70182120000001,-0.235718564,plcN,non-hemolytic phospholipase C
1850,PA1590,81.78194003,-0.234943604,braB,branched-chain amino acid transporter
1851,PA3964,39.46557672,-0.234505245,NaN,NaN
1852,PA5058,442.45098600000006,-0.234428411,phaC2,poly(3-hydroxyalkanoic acid) synthase
1853,PA2126,13.09580085,-0.234319112,-,hypothetical protein PA2126
1854,PA2674,13.09580085,-0.234319112,-,type II secretion system protein
1855,PA3720,13.09580085,-0.234319112,-,hypothetical protein PA3720
1856,PA4971,13.09580085,-0.234319112,aspP,adenosine diphosphate sugar pyrophosphatase
1857,PA0456,6.147008564,-0.234296922,-,cold-shock protein
1858,PA0518,6.147008564,-0.234296922,nirM,cytochrome C-551
1859,PA2468,6.147008564,-0.234296922,foxI,ECF sigma factor FoxI
1860,PA1454,28.01788686,-0.233883312,fleN,flagellar synthesis regulator FleN
1861,PA4734,196.88244819999997,-0.2330026,-,hypothetical protein PA4734
1862,PA3392,65.83535259,-0.23294898,nosZ,nitrous-oxide reductase
1863,PA4458,96.70402603,-0.232497283,-,hypothetical protein PA4458
1864,PA0827,42.93997287,-0.232352907,-,hypothetical protein PA0827
1865,PA4727,42.93997287,-0.232352907,pcnB,poly(A) polymerase
1866,PA4124,148.0181845,-0.231919246,hpcB,"homoprotocatechuate 2,3-dioxygenase"
1867,PA3048,381.9163147,-0.231751404,-,ribosomal RNA large subunit methyltransferase K/L
1868,PA0843,16.570197,-0.231358686,plcR,phospholipase C accessory protein PlcR
1869,PA1610,16.570197,-0.231358686,fabA,3-hydroxydecanoyl-ACP dehydratase
1870,PA1924,16.570197,-0.231358686,-,hypothetical protein PA1924
1871,PA3785,16.570197,-0.231358686,-,hypothetical protein PA3785
1872,PA1293,92.20512846,-0.230593958,-,hypothetical protein PA1293
1873,PA4236,111.626112,-0.230269912,katA,catalase
1874,PA3891,139.0203893,-0.229761328,-,ABC transporter ATP-binding protein
1875,PA4993,115.1005082,-0.229085084,-,hypothetical protein PA4993
1876,PA0447,49.88876516,-0.228761829,gcdH,glutaryl-CoA dehydrogenase
1877,PA1348,20.04459314,-0.228498822,-,hypothetical protein PA1348
1878,PA4435,317.90724730000005,-0.227325639,-,acyl-CoA dehydrogenase
1879,PA4651,91.18062703,-0.227199346,-,pili assembly chaperone
1880,PA1451,114.0760068,-0.226383372,-,hypothetical protein PA1451
1881,PA3675,160.8912676,-0.226166927,-,hypothetical protein PA3675
1882,PA1834,83.20733332,-0.226030898,NaN,NaN
1883,PA0899,23.51898929,-0.225976753,aruB,N-succinylarginine dihydrolase
1884,PA3194,23.51898929,-0.225976753,edd,phosphogluconate dehydratase
1885,PA1101,71.75964345,-0.225600076,fliF,flagellar MS-ring protein
1886,PA0121,98.12941932,-0.224869443,-,hypothetical protein PA0121
1887,PA0006,86.68172946,-0.224852428,-,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase"
1888,PA0063,635.4581462,-0.223862824,-,hypothetical protein PA0063
1889,PA3643,124.4991952,-0.223344528,lpxB,lipid-A-disaccharide synthase
1890,PA0636,33.94217772,-0.220413655,-,hypothetical protein PA0636
1891,PA3279,55.81305602,-0.220257543,oprP,phosphate-specific outer membrane porin OprP
1892,PA3021,238.9760938,-0.21997767,-,hypothetical protein PA3021
1893,PA1433,4566.158318,-0.218407369,-,hypothetical protein PA1433
